ITEM NO.,Quantity,Rate,Alt1,Alt2,Alt3,CONDITION
9045,2100,7.1,None,None,None,300.0
9046,2100,7.5,None,None,None,300.0
9047,2000,7.2,None,None,None,300.0
9048,2100,7.1,None,None,None,300.0
9049,2100,7.1,None,None,None,300.0
9050,1100,7.5,None,None,None,300.0
9051,1100,7.5,None,None,None,300.0
9052,1100,7.75,None,None,None,300.0
9053,2000,7.5,None,None,None,300.0
9054,1000,7.75,None,None,None,300.0
9055,2600,8.25,None,None,None,300.0
9056,2200,8.5,nan,nan,nan,300.0
9057,2100,8.5,None,None,None,300.0
9058,1600,8.25,None,None,None,300.0
9059,2000,8.75,None,None,None,300.0
9060,2000,8.75,None,None,None,300.0
9061,1000,9.5,None,None,None,300.0
9062,1000,9.5,None,None,None,300.0
9063,2000,9.5,None,None,None,300.0
9064,2000,10.5,None,None,None,200.0
9065,0,0.0,nan,nan,nan,0.0
9066,800,10.5,None,None,None,200.0
9067,1100,11.0,nan,nan,nan,200.0
9068,1850,11.75,None,None,None,200.0
9069,1000,12.0,None,None,None,200.0
9070,400,15.0,None,None,None,200.0
9071,1100,13.0,None,None,None,200.0
9072,0,12.75,nan,nan,nan,200.0
9073,450,16.5,nan,nan,nan,200.0
9074,3000,4.2,None,None,None,600.0
9075,6650,4.2,None,None,None,600.0
9076,6000,4.2,None,None,None,600.0
9077,5500,3.9,None,None,None,600.0
9078,3500,3.9,None,None,None,600.0
9079,6550,4.2,None,None,None,600.0
9080,6600,4.2,None,None,None,600.0
9081,8400,4.2,None,None,None,600.0
9082,3000,4.8,None,None,None,600.0
9083,2350,4.5,None,None,None,600.0
9084,2350,4.5,None,None,None,600.0
9085,6300,4.9,None,None,None,600.0
9086,500,9.0,None,None,None,300.0
9087,2000,6.25,None,None,None,400.0
9088,2000,6.25,None,None,None,400.0
9089,2000,6.25,None,None,None,400.0
9090,2000,6.25,None,None,None,400.0
9091,1300,8.5,None,None,None,300.0
9092,1600,7.25,None,None,None,300.0
9093,6800,3.0,None,None,None,1000.0
9094,7600,3.0,None,None,None,1000.0
9095,9600,3.0,None,None,None,1000.0
9200,122200,1.3,None,None,None,1000.0
9201,104400,1.4,None,None,None,1000.0
9202,106000,1.4,None,None,None,1000.0
9203,104400,1.4,None,None,None,1000.0
9205,12000,0.8,None,None,None,1000.0
9206,11900,0.8,None,None,None,1000.0
9207,14000,0.8,None,None,None,1000.0
9208,14200,1.15,None,None,None,1000.0
9209,3800,1.15,None,None,None,1000.0
9210,2200,1.15,None,None,None,1000.0
9945,3100,7.5,None,None,None,300.0
9955,4750,7.0,None,None,None,400.0
2024,-47,19.5,nan,nan,nan,200.0
,2934536,Not Available,None,None,None,Not Available

